SeqNo,pm_name,pm_Longitude,pm_Latitude,pm_unit,pm_location
157,七虎公園,121.5020599400,25.1364994050,陽明山公園管理所,育仁路108號（薇閣小學旁）
402,七星公園,121.5030212400,25.1366195680,陽明山公園管理所,光明路、中山路交叉口（新北投捷運站）
251,八仙公園,121.5029160000,25.1202860000,陽明山公園管理所,公館路423巷8弄
542,大豐公園,121.5037307700,25.1319408420,陽明山公園管理所,公館路13號旁
905,中央簡易公園,121.4999237100,25.1280994420,陽明山公園管理所,大興街與中央南路二段6巷口
446,中庸1號公園,121.5012435900,25.1380405430,陽明山公園管理所,位於北投區中庸里雙全街50號對面
523,丹鳳公園,121.5109787000,25.1264801030,陽明山公園管理所,公館路255巷19弄旁
267,公館公園,121.5064315800,25.1279907230,陽明山公園管理所,奇岩新社區(公三)
368,天狗庵遺址,121.5066680900,25.1359291080,陽明山公園管理所,溫泉路73巷(天狗庵舊址)
467,文化1號公園,121.4964620000,25.1365350000,陽明山公園管理所,位於北投區文化里中央北路二段文化國小對面
522,文化2號公園,121.4968414300,25.1364307400,陽明山公園管理所,位於北投區文化里中央北路一段228巷
268,文化3號公園,121.4947128300,25.1376991270,陽明山公園管理所,中央北路二段68巷進入(42巷11弄旁)
835,北投258號綠地(承德4號),121.5124500000,25.1019000000,園藝工程隊(北區分隊),承德路六段與福國路交叉口，北投士林科技園區(綠4，區段徵收)
875,北投2號公園,121.5082210000,25.1370500000,陽明山公園管理所,中山路2號
786,北投公園,121.5047302200,25.1365604400,陽明山公園管理所,北投區中山路、光明路所圍範圍
857,北投社三層崎公園,121.4911560000,25.1457400000,陽明山公園管理所,北投區秀山路50號旁
579,石牌公園,121.5103607200,25.1163597110,陽明山公園管理所,石牌路一段39巷內
44,立農公園,121.5035095200,25.1187896730,陽明山公園管理所,承德路七段378號
760,吉利公園,121.5083694500,25.1190109250,陽明山公園管理所,位於北投區立農里吉利街179號旁
330,同德公園,121.5294494600,25.1250705720,陽明山公園管理所,位於北投區永欣里同德街27巷19號對面
509,地熱谷公園,121.5109787000,25.1375598910,陽明山公園管理所,臺北市北投區中山路30-1號(中山路與溫泉路交口)
228,行義公園,121.5252304100,25.1253890990,陽明山公園管理所,石牌路二段343巷8號
360,奇岩1號公園,121.5036980000,25.1283390000,陽明山公園管理所,臺北市北投區磺港路208號(奇岩新社區公一)
214,奇岩二號公園,121.5036926300,25.1264991760,陽明山公園管理所,臺北市北投區216號(奇岩新社區公二)
261,奇岩三號公園,121.5052185100,25.1259803770,陽明山公園管理所,奇岩新社區(公四)
483,東華公園,121.5070724500,25.1218395230,陽明山公園管理所,東華街二段300巷19號對面
29,林泉公園,121.5148200000,25.1413300000,陽明山公園管理所,溫泉路168號旁
141,知行公園,121.4666519200,25.1197299960,陽明山公園管理所,位於北投區關渡里知行路225巷
907,長安公園,121.5001602200,25.1355590820,陽明山公園管理所,育仁路109號對面(薇閣國小旁)
597,前山公園,121.5484437000,25.1505765240,花卉試驗中心,臺北市北投區建國街4號旁及紗帽路117號對面
585,建民公園,121.5198090000,25.1047440000,陽明山公園管理所,文林北路16巷7號對面
171,泉源47號公園,121.5124588000,25.1420993800,陽明山公園管理所,泉源路80號對面山腳下
142,泉源48號公園,121.5071563700,25.1419391630,陽明山公園管理所,北投珠海路120號附近
871,洲美(公4)公園,121.5063470000,25.1000890000,陽明山公園管理所,洲美街122號
572,洲美蜆仔港公園,121.5111863500,25.1009971140,陽明山公園管理所,台北市士林區承德路六段329號
676,致遠公園,121.5150528000,25.1112709050,陽明山公園管理所,位於北投區榮光里致遠一路二段自強市場旁
84,重三公園,121.4892883300,25.1401596070,陽明山公園管理所,新興路與重三路交叉口(重三新村八期重劃)政校後勤區
745,振華公園,121.5188522300,25.1151695250,陽明山公園管理所,位於北投區振華里振華街24號對面
701,振興公園,121.5230407700,25.1182193760,陽明山公園管理所,天母西路與磺溪交叉口
50,桂花公園,121.5102233900,25.1379108430,陽明山公園管理所,中山路5-7號(林泉里辦公處旁)
174,桃源公園,121.4827575700,25.1380691530,陽明山公園管理所,中央北路三段148巷底
674,健行公園,121.5088272100,25.1212100980,陽明山公園管理所,位於北投區東華里致遠三路147巷二弄內
59,崇仰公園,121.5110600000,25.1260900000,陽明山公園管理所,崇仰一路、公館路225巷底
576,清江1公園,121.5024795500,25.1239109040,陽明山公園管理所,位於北投區清江里崇仁路一段154號對面
742,清江二公園,121.5018920900,25.1236801150,陽明山公園管理所,位於北投區清江里崇仁路1段154號旁
797,軟橋公園,121.5176130000,25.1031020000,陽明山公園管理所,台北市北投區文林北路5巷58號
906,復興公園,121.5032272300,25.1396903990,陽明山公園管理所,北投中和街200號
514,開明公園,121.5053176900,25.1411304470,陽明山公園管理所,珠海路112號附近
497,陽明公園,121.5390111560,25.1590167547,花卉試驗中心,臺北市北投區湖山路二段
