data_time,name,addr,district,lng,lat,wkb_geometry,phone,acute_general_beds,acute_psychiatric_beds,chronic_general_beds,chronic_psychiatric_beds,palliative_beds,icu_beds,acute_respiratory_care_beds,chronic_respiratory_care_beds,burn_beds,emergency_observation_beds,other_observation_beds,surgical_recovery_beds,baby_beds,baby_sick_beds,hemodialysis_beds,peritoneal_dialysis_beds,psychiatric_icu_beds,burn_icu_beds,general_isolation_beds,positive_pressure_isolation_beds,negative_pressure_isolation_beds,bone_marrow_transplant_beds
2024-03-28 16:29:38+08:00,國立台灣大學醫學院附設醫院,臺北市中正區中山南路7、8號；常德街1號,中正區,121.5183428,25.03553921,POINT (121.5183428 25.03553921),(02)23123456,1680,68,0,0,17,167,15,0,10,120,0,41,0,0,52,0,0,4,94,1,45,5
2024-03-28 16:29:38+08:00,國立臺灣大學醫學院附設醫院兒童醫院,臺北市中正區中山南路8號,中正區,121.5187506,25.04434314,POINT (121.5187506 25.04434314),(02)23123456,133,0,0,0,0,65,0,0,0,0,0,17,20,42,0,0,0,0,0,0,6,3
2024-03-28 16:29:38+08:00,郵政醫院（委託中英醫療社團法人經營）,臺北市中正區福州街14號,中正區,121.5186982,25.02874869,POINT (121.5186982 25.02874869),(02)23956755,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024-03-28 16:29:38+08:00,臺北市立聯合醫院,臺北市大同區鄭州路145號,大同區,121.5088874,25.05069244,POINT (121.5088874 25.05069244),(02)25523234,1674,365,0,133,27,128,0,179,0,80,11,26,50,30,167,0,12,0,14,0,33,0
2024-03-28 16:29:38+08:00,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市中山區中山北路二段92號,中山區,121.522558,25.05888423,POINT (121.522558 25.05888423),(02)25433535,682,0,0,0,0,65,0,0,0,39,0,14,32,0,48,0,0,8,2,0,0,0
2024-03-28 16:29:38+08:00,台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,臺北市中山區中山北路2段92號,中山區,121.522558,25.05888423,POINT (121.522558 25.05888423),(02)25433535,88,0,0,0,0,35,0,0,0,0,0,0,0,55,0,0,0,0,8,0,2,2
2024-03-28 16:29:38+08:00,協和婦女醫院,臺北市中山區松江路85巷5號、93巷6號,中山區,121.5339434,25.05027331,POINT (121.5339434 25.05027331),(02)25072222,20,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0,0
2024-03-28 16:29:38+08:00,泰安醫院,臺北市中山區民權東路二段92巷2之1號,中山區,121.5316407,25.06145984,POINT (121.5316407 25.06145984),(02)25375633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-28 16:29:38+08:00,三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路131號,松山區,121.5577045,25.05394015,POINT (121.5577045 25.05394015),(02)27462151,187,31,0,40,0,16,0,54,0,14,0,5,10,2,20,0,0,0,0,0,2,0
2024-03-28 16:29:38+08:00,長庚醫療財團法人台北長庚紀念醫院,臺北市松山區敦化北路199號、197號、臺北市松山區敦化北路199巷6號,松山區,121.5485556,25.05023183,POINT (121.5485556 25.05023183),(02)27135211,119,0,0,0,0,14,0,0,0,23,0,6,25,8,56,0,0,0,0,0,2,0
2024-03-28 16:29:38+08:00,基督復臨安息日會醫療財團法人臺安醫院,臺北市松山區八德路二段424、426號,松山區,121.5444842,25.04758836,POINT (121.5444842 25.04758836),(02)27718151,256,0,0,0,0,21,0,0,0,10,0,6,20,21,44,0,0,0,0,0,6,0
2024-03-28 16:29:38+08:00,博仁綜合醫院,臺北市松山區光復北路66號、68號,松山區,121.557695,25.04990354,POINT (121.557695 25.04990354),(02)25786677,134,0,0,0,0,8,0,30,0,4,0,2,2,0,18,0,0,0,0,0,0,0
2024-03-28 16:29:38+08:00,培靈醫院,臺北市松山區八德路四段355號,松山區,121.5682821,25.04940059,POINT (121.5682821 25.04940059),(02)27606116,0,19,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-28 16:29:38+08:00,國立臺灣大學醫學院附設醫院癌醫中心分院,臺北市大安區基隆路 3段155巷57號 ,大安區,,,POINT EMPTY,(02)23220322,383,0,0,0,0,28,0,0,0,4,0,17,0,0,15,0,0,0,0,0,16,30
2024-03-28 16:29:38+08:00,中山醫療社團法人中山醫院,臺北市大安區仁愛路四段112巷11號,大安區,121.5497106,25.03655173,POINT (121.5497106 25.03655173),(02)27081166,115,0,0,0,0,6,0,0,0,6,0,3,25,5,15,0,0,0,0,0,0,0
2024-03-28 16:29:38+08:00,國泰醫療財團法人國泰綜合醫院,臺北市大安區仁愛路四段266巷6號、280號,大安區,121.5528014,25.03717848,POINT (121.5528014 25.03717848),(02)27082121,556,0,0,0,0,56,8,0,0,41,0,17,25,18,55,0,0,4,0,0,2,0
2024-03-28 16:29:38+08:00,中心診所醫療財團法人中心綜合醫院,臺北市大安區忠孝東路四段77號,大安區,121.5473297,25.04186487,POINT (121.5473297 25.04186487),(02)27510221,124,0,0,0,0,6,0,0,0,8,0,2,0,0,29,0,0,0,0,0,0,0
2024-03-28 16:29:38+08:00,宏恩醫療財團法人宏恩綜合醫院,臺北市大安區仁愛路四段71巷1號、仁愛路四段61號、仁愛路四段91巷16號,大安區,121.5470295,25.03849645,POINT (121.5470295 25.03849645),(02)27713161,99,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0
